,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc1236,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,9
Doc1237,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc1238,0.02,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.22,3
Doc1239,0.31,0.21,0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0
Doc1240,0.22,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,9
Doc1241,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1242,0.02,0.59,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc1243,0.02,0.18,0.02,0.18,0.28,0.02,0.02,0.02,0.26,0.02,4
Doc1244,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1245,0.02,0.35,0.18,0.02,0.02,0.35,0.02,0.02,0.02,0.02,1
Doc1246,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc1247,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1248,0.03,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.52,9
Doc1249,0.32,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.23,0
Doc1250,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.59,0.01,8
Doc1251,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1252,0.03,0.03,0.03,0.27,0.28,0.03,0.03,0.03,0.27,0.03,4
Doc1253,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1254,0.01,0.01,0.01,0.01,0.09,0.01,0.84,0.01,0.01,0.01,6
Doc1255,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1256,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.27,3
Doc1257,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1258,0.02,0.02,0.02,0.22,0.42,0.02,0.02,0.02,0.02,0.22,4
Doc1259,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,5
Doc1260,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1261,0.33,0.02,0.02,0.02,0.35,0.02,0.2,0.02,0.02,0.02,4
Doc1262,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc1263,0.02,0.02,0.02,0.02,0.18,0.34,0.02,0.36,0.02,0.02,7
Doc1264,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc1265,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1266,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1267,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1268,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1269,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1270,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1271,0.02,0.2,0.02,0.02,0.18,0.02,0.18,0.02,0.34,0.02,8
Doc1272,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc1273,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.71,0.21,8
Doc1274,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1275,0.11,0.01,0.61,0.01,0.01,0.11,0.01,0.01,0.12,0.01,2
Doc1276,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1277,0.02,0.02,0.22,0.23,0.41,0.02,0.02,0.02,0.02,0.02,4
Doc1278,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1279,0.03,0.03,0.27,0.28,0.03,0.03,0.03,0.03,0.03,0.27,3
Doc1280,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,5
Doc1281,0.02,0.22,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc1282,0.02,0.02,0.22,0.02,0.22,0.22,0.02,0.02,0.02,0.22,2
Doc1283,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc1284,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc1285,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1286,0.27,0.13,0.39,0.14,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc1287,0.02,0.22,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc1288,0.27,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1289,0.27,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.27,0.03,3
Doc1290,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1291,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1292,0.12,0.24,0.33,0.01,0.23,0.01,0.01,0.01,0.01,0.01,2
Doc1293,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc1294,0.02,0.02,0.02,0.02,0.18,0.18,0.22,0.02,0.02,0.31,9
Doc1295,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc1296,0.52,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0
Doc1297,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1298,0.03,0.29,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.51,9
Doc1299,0.23,0.02,0.22,0.02,0.22,0.02,0.02,0.02,0.21,0.02,0
Doc1300,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1301,0.03,0.03,0.28,0.03,0.03,0.27,0.03,0.03,0.03,0.28,2
Doc1302,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1303,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc1304,0.03,0.03,0.03,0.03,0.52,0.03,0.28,0.03,0.03,0.03,4
Doc1305,0.03,0.52,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,1
Doc1306,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc1307,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc1308,0.02,0.02,0.02,0.23,0.61,0.02,0.02,0.02,0.02,0.02,4
Doc1309,0.12,0.01,0.34,0.01,0.17,0.11,0.01,0.2,0.01,0.01,2
Doc1310,0.02,0.24,0.02,0.02,0.02,0.02,0.02,0.6,0.02,0.02,7
Doc1311,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc1312,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,4
Doc1313,0.22,0.02,0.02,0.22,0.22,0.02,0.22,0.02,0.02,0.02,0
Doc1314,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc1315,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1316,0.02,0.02,0.23,0.02,0.02,0.02,0.02,0.61,0.02,0.02,7
Doc1317,0.01,0.01,0.01,0.01,0.68,0.17,0.09,0.01,0.01,0.01,4
Doc1318,0.02,0.02,0.02,0.02,0.36,0.02,0.48,0.02,0.02,0.02,6
Doc1319,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.42,8
Doc1320,0.02,0.24,0.02,0.02,0.02,0.02,0.02,0.6,0.02,0.02,7
Doc1321,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc1322,0.02,0.02,0.02,0.18,0.52,0.18,0.02,0.02,0.02,0.02,4
Doc1323,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc1324,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc1325,0.02,0.22,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc1326,0.28,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,4
Doc1327,0.36,0.34,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0
Doc1328,0.34,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,7
Doc1329,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1330,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,5
Doc1331,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1332,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1333,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc1334,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.49,0.02,0.35,7
Doc1335,0.02,0.02,0.02,0.48,0.02,0.02,0.02,0.39,0.02,0.02,3
Doc1336,0.03,0.27,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.27,1
Doc1337,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc1338,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.27,0
Doc1339,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.32,0.48,9
Doc1340,0.16,0.23,0.01,0.01,0.01,0.01,0.2,0.33,0.01,0.01,7
Doc1341,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc1342,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1343,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,1
Doc1344,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,3
Doc1345,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,9
Doc1346,0.02,0.02,0.35,0.02,0.35,0.02,0.02,0.18,0.02,0.02,2
Doc1347,0.02,0.02,0.02,0.02,0.14,0.02,0.02,0.56,0.18,0.02,7
Doc1348,0.03,0.03,0.28,0.03,0.03,0.03,0.27,0.28,0.03,0.03,2
Doc1349,0.28,0.02,0.02,0.02,0.56,0.02,0.02,0.02,0.02,0.02,4
Doc1350,0.02,0.02,0.25,0.02,0.02,0.02,0.59,0.02,0.02,0.02,6
Doc1351,0.02,0.02,0.02,0.02,0.62,0.02,0.02,0.22,0.02,0.02,4
Doc1352,0.02,0.02,0.6,0.02,0.02,0.02,0.02,0.24,0.02,0.02,2
Doc1353,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc1354,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc1355,0.44,0.01,0.01,0.17,0.29,0.01,0.01,0.01,0.01,0.01,0
Doc1356,0.02,0.02,0.02,0.02,0.68,0.02,0.18,0.02,0.02,0.02,4
Doc1357,0.02,0.36,0.02,0.02,0.34,0.02,0.02,0.18,0.02,0.02,1
Doc1358,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1359,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,7
Doc1360,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1361,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc1362,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc1363,0.01,0.01,0.26,0.2,0.32,0.14,0.01,0.01,0.01,0.01,4
Doc1364,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1365,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc1366,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.18,5
Doc1367,0.28,0.03,0.03,0.03,0.27,0.03,0.28,0.03,0.03,0.03,0
Doc1368,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1369,0.02,0.02,0.02,0.62,0.02,0.22,0.02,0.02,0.02,0.02,3
Doc1370,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0
Doc1371,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1372,0.01,0.01,0.26,0.01,0.32,0.33,0.01,0.01,0.01,0.01,5
Doc1373,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1374,0.02,0.02,0.02,0.38,0.24,0.25,0.02,0.02,0.02,0.02,3
Doc1375,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc1376,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc1377,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.52,0.03,0.03,7
Doc1378,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1379,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1380,0.26,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.39,0.01,8
Doc1381,0.02,0.19,0.02,0.02,0.51,0.18,0.02,0.02,0.02,0.02,4
Doc1382,0.02,0.02,0.02,0.63,0.02,0.02,0.02,0.02,0.21,0.02,3
Doc1383,0.01,0.16,0.44,0.01,0.01,0.01,0.3,0.01,0.01,0.01,2
Doc1384,0.01,0.19,0.01,0.01,0.01,0.29,0.01,0.01,0.42,0.01,8
Doc1385,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.22,0.22,0.02,4
Doc1386,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.28,2
Doc1387,0.03,0.03,0.03,0.52,0.03,0.03,0.28,0.03,0.03,0.03,3
Doc1388,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc1389,0.03,0.03,0.03,0.03,0.23,0.26,0.03,0.34,0.03,0.03,7
Doc1390,0.01,0.01,0.01,0.01,0.37,0.01,0.55,0.01,0.01,0.01,6
Doc1391,0.13,0.01,0.23,0.01,0.01,0.01,0.01,0.3,0.13,0.15,7
Doc1392,0.02,0.02,0.24,0.02,0.02,0.02,0.02,0.02,0.39,0.24,8
Doc1393,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1394,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1395,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,3
Doc1396,0.18,0.02,0.18,0.02,0.52,0.02,0.02,0.02,0.02,0.02,4
Doc1397,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1398,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1399,0.01,0.29,0.15,0.01,0.01,0.01,0.01,0.15,0.01,0.34,9
Doc1400,0.02,0.22,0.02,0.42,0.22,0.02,0.02,0.02,0.02,0.02,3
Doc1401,0.03,0.34,0.03,0.03,0.03,0.21,0.03,0.03,0.03,0.27,1
Doc1402,0.01,0.01,0.15,0.01,0.01,0.3,0.01,0.01,0.01,0.45,9
Doc1403,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.2,0.02,0.42,9
Doc1404,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.53,9
Doc1405,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.27,3
Doc1406,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.53,9
Doc1407,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,2
Doc1408,0.02,0.02,0.19,0.02,0.51,0.02,0.02,0.02,0.02,0.19,4
Doc1409,0.01,0.16,0.01,0.28,0.01,0.01,0.01,0.35,0.14,0.01,7
Doc1410,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc1411,0.02,0.19,0.02,0.31,0.02,0.02,0.2,0.19,0.02,0.02,3
Doc1412,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc1413,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc1414,0.03,0.28,0.27,0.27,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1415,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc1416,0.14,0.01,0.01,0.01,0.63,0.01,0.15,0.01,0.01,0.01,4
Doc1417,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1418,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1419,0.03,0.53,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1420,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1421,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1422,0.03,0.03,0.29,0.03,0.51,0.03,0.03,0.03,0.03,0.03,4
Doc1423,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1424,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1425,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc1426,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1427,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc1428,0.01,0.26,0.17,0.01,0.01,0.01,0.01,0.31,0.01,0.21,7
Doc1429,0.21,0.01,0.17,0.36,0.01,0.17,0.01,0.01,0.01,0.01,3
Doc1430,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0
Doc1431,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc1432,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc1433,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.27,5
Doc1434,0.02,0.43,0.02,0.02,0.02,0.18,0.02,0.02,0.27,0.02,1
Doc1435,0.02,0.02,0.22,0.02,0.62,0.02,0.02,0.02,0.02,0.02,4
Doc1436,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1437,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1438,0.02,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.22,3
Doc1439,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1440,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1441,0.01,0.44,0.29,0.21,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc1442,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1443,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1444,0.01,0.3,0.01,0.01,0.11,0.01,0.12,0.01,0.01,0.41,9
Doc1445,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc1446,0.02,0.02,0.02,0.02,0.02,0.64,0.22,0.02,0.02,0.02,5
Doc1447,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,7
Doc1448,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc1449,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1450,0.01,0.12,0.01,0.14,0.26,0.26,0.01,0.16,0.01,0.01,4
Doc1451,0.02,0.38,0.02,0.02,0.02,0.46,0.02,0.02,0.02,0.02,5
Doc1452,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc1453,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,5
Doc1454,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc1455,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,2
Doc1456,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1457,0.03,0.03,0.03,0.27,0.53,0.03,0.03,0.03,0.03,0.03,4
Doc1458,0.02,0.02,0.26,0.58,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc1459,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1460,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc1461,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.27,8
Doc1462,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc1463,0.02,0.02,0.31,0.53,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc1464,0.03,0.03,0.03,0.03,0.34,0.03,0.03,0.03,0.03,0.39,9
Doc1465,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc1466,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1467,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1468,0.27,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,1
Doc1469,0.03,0.29,0.26,0.03,0.03,0.28,0.03,0.03,0.03,0.03,1
Doc1470,0.01,0.13,0.01,0.01,0.01,0.58,0.01,0.19,0.01,0.01,5
Doc1471,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc1472,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1473,0.02,0.02,0.02,0.02,0.02,0.15,0.43,0.02,0.18,0.14,6
Doc1474,0.02,0.02,0.02,0.02,0.22,0.22,0.02,0.02,0.02,0.42,9
Doc1475,0.02,0.02,0.18,0.02,0.02,0.33,0.37,0.02,0.02,0.02,6
Doc1476,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,9
Doc1477,0.02,0.45,0.02,0.02,0.02,0.02,0.02,0.39,0.02,0.02,1
Doc1478,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc1479,0.03,0.03,0.03,0.03,0.52,0.03,0.27,0.03,0.03,0.03,4
Doc1480,0.03,0.29,0.03,0.03,0.03,0.03,0.28,0.25,0.03,0.03,1
Doc1481,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,5
Doc1482,0.03,0.52,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,1
Doc1483,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.53,9
Doc1484,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1485,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc1486,0.52,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.18,0
Doc1487,0.03,0.27,0.03,0.34,0.03,0.03,0.03,0.03,0.03,0.21,3
Doc1488,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc1489,0.02,0.02,0.02,0.02,0.02,0.22,0.42,0.02,0.02,0.22,6
Doc1490,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1491,0.01,0.01,0.01,0.01,0.52,0.01,0.01,0.01,0.01,0.38,4
Doc1492,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1493,0.41,0.33,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc1494,0.01,0.01,0.01,0.01,0.28,0.01,0.18,0.18,0.01,0.28,4
Doc1495,0.4,0.02,0.02,0.02,0.02,0.02,0.22,0.24,0.02,0.02,0
Doc1496,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1497,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1498,0.01,0.01,0.01,0.01,0.01,0.16,0.44,0.01,0.1,0.21,6
Doc1499,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc1500,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.22,0.37,9
Doc1501,0.01,0.01,0.01,0.57,0.01,0.01,0.31,0.01,0.01,0.01,3
Doc1502,0.02,0.12,0.02,0.02,0.17,0.02,0.02,0.42,0.02,0.19,7
Doc1503,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1504,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1505,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc1506,0.02,0.02,0.02,0.02,0.52,0.35,0.02,0.02,0.02,0.02,4
Doc1507,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.28,0.03,0.03,5
Doc1508,0.01,0.01,0.37,0.01,0.01,0.01,0.34,0.01,0.2,0.01,2
Doc1509,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1510,0.03,0.28,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,5
Doc1511,0.02,0.2,0.31,0.02,0.02,0.19,0.02,0.19,0.02,0.02,2
Doc1512,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1513,0.37,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0
Doc1514,0.44,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.01,6
Doc1515,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1516,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.27,0
Doc1517,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.47,0.37,8
Doc1518,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1519,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc1520,0.01,0.11,0.41,0.01,0.11,0.31,0.01,0.01,0.01,0.01,2
Doc1521,0.3,0.01,0.44,0.01,0.01,0.16,0.01,0.01,0.01,0.01,2
Doc1522,0.02,0.21,0.02,0.34,0.02,0.19,0.02,0.02,0.16,0.02,3
Doc1523,0.01,0.01,0.01,0.56,0.01,0.17,0.01,0.17,0.01,0.01,3
Doc1524,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1525,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
